id,r1,r2,r3,pc1_1,pc1_2,pc1_3,pc2_1,pc2_2,pc2_3,pc3_1,pc3_2,pc3_3
6,0.07053895884977948,0.0026974043713046073,2.4341790280298338e-05,0.6381116834687794,-0.76994092032274,-0.0021115475871544796,-0.0034030892842045303,-0.005562834248417842,0.9999787367031604,-0.7699362950296369,-0.6380909293256698,-0.0061698872225365445
4,1.5631284956587599,0.006930875898420496,7.6070084609994844e-06,-0.6376454491704339,0.7702374636006823,-0.011938627149830698,-0.7699553395069427,-0.6377420834007129,-0.021302821983629986,0.024021996523685373,0.004391437771954832,-0.9997017850125662
0,0.49227247326979606,0.15099511585184153,0.007841716489552612,-0.677348924945405,-0.593288689108496,-0.4349792699097582,0.3656230248795274,0.2415895000186849,-0.8988627910636119,0.6383715513345254,-0.7678821816246579,0.0532796170229038
11,0.10269961003301227,0.0031973137837855497,1.5383395052674647e-05,0.6363531216661961,-0.7713978205793832,0.00032703373707796476,0.01922346358572623,0.015434288769336384,-0.9996960744035924,-0.7711583255035608,-0.6361660043853038,-0.02465059575308111
2,1.6142960898375323,0.007077859143492458,7.8354361513e-06,0.6393000025991604,-0.7688782866555733,0.011031182452659792,0.7684540015142242,0.6393347375148184,0.02701001598732713,-0.027820032952725036,-0.008790546993721692,0.9995742954128326
1,1.3809820312470136,0.43848204908556937,0.12029822810987326,-0.34135552428305105,-0.8471846904770263,-0.4071295939412767,0.9349545707442221,-0.26151438004163113,-0.23972938842771987,-0.09662482437723065,0.4624806258134353,-0.8813485769326926
16,0.02141600399265049,0.002952677033031969,1.2808803458459976e-05,-0.6384056300371481,0.7684280141548645,0.04423390779575525,-0.01748857085748065,0.04297276064698803,-0.9989231660802244,-0.7695013979365047,-0.6384917610309374,-0.013995344560855487
10,0.3666280496686324,0.0029523580712477663,1.617137441434154e-05,-0.639914240120493,0.7683128859911076,-0.014320422864814587,0.014538642516110702,-0.006527444631777817,-0.9998730021059513,-0.7683087876399701,-0.6400411718683372,-0.006993221618473269
17,0.0020992379177846754,0.000493198356482527,3.314432162405837e-05,0.3739235450262502,-0.4407055947947645,-0.8160635766848038,-0.513471848826939,0.6343702244970382,-0.5778590474621149,-0.7723521495647222,-0.635100777033197,-0.010916046655387195
5,1.6005704750292253,0.007172203464849148,7.307263130248009e-06,0.6383808864994073,-0.7696421119857438,0.010993780530569246,0.7693092385944756,0.6384415184599262,0.023573776103373398,-0.025162256763231174,-0.006591431157763057,0.9996616496944724
7,0.10211471505863087,0.003081081485782836,2.6524090118122907e-05,0.6372902904553761,-0.7705755394101634,-0.00862692031018393,-0.001539033506474846,0.009922030917099537,-0.9999495910686428,-0.7706222920907286,-0.6372714424522851,-0.0051372723906433805
12,0.29455784881504,0.003048372542585259,1.509219423214445e-05,0.6368938531130609,-0.7709362429955482,0.004850680643763227,0.0050642511892300636,-0.0021081084520313507,-0.9999849545061402,-0.7709348696399012,-0.6369088357957229,-0.0025615734706164084
15,0.0161699983272008,0.003131672139992931,1.9252523685927117e-05,0.630770245048275,-0.7755720090225265,0.02483861474601118,-0.021041589435018243,0.014902482240097471,0.9996675284999162,-0.7756843104483853,-0.631083175852316,-0.006919225416730419
18,0.0009729414182258738,0.00024081354205752738,4.661419752086076e-05,-0.6589227479226912,0.636708953018283,-0.4005278035497317,-0.21743544381048124,0.34851384446184763,0.911734571020186,0.7200990487738124,0.6878515896360097,-0.09120060630426471
8,0.31029975749851774,0.002792754911329421,1.8174288401122075e-05,0.6367535377614192,-0.7709682820034494,0.012362859417111665,-0.009714034271477864,0.00801126818375512,0.9999207254179007,-0.77100620599739,-0.6368231526308837,-0.0023880089556423075
14,0.09413003099735032,0.002793990761404405,3.714910785765647e-05,-0.6403739684846254,0.7680560870931269,-0.003320777988301401,0.025465070473203764,0.016910148014922792,-0.9995326793456574,-0.7676410037726273,-0.6401592723481468,-0.03038742097717829
9,1.2756390247075633,0.003142704367332834,1.702088586081876e-05,-0.6376421743092409,0.7702308270679449,-0.012527193477143863,-0.018453566428417185,0.0009844867376565417,0.9998292337554129,-0.7701116304979791,-0.6377644579467359,-0.013585755468535146
13,0.1923710855574289,0.003034593402090625,1.760969079476026e-05,-0.639416413905907,0.768675333861847,-0.016878410472800223,0.0029678737138374594,-0.019484721327203098,-0.999805749813643,-0.7688548896595044,-0.6393423001391192,0.01017751931915226
3,0.05010522059294551,0.002975023765201649,1.654580334057687e-05,0.6415667986876633,-0.7670463328688321,-0.00565385303493252,0.007300135080657914,0.013475995930573817,-0.9998825458830071,-0.7670324314196029,-0.6414501701349498,-0.014245293411372022
